IP-clean Name,Status,Reason
Touch and Go,old repo-only,Not present in current ordinary baseline captures; hold out pending special/event investigation.
Aerial Work,old repo-only,Not present in current ordinary baseline captures; hold out pending special/event investigation.
Attack Blueprint,special family,Masterclass/special-source equivalent; excluded from ordinary baseline.
Pressure Trap,old repo-only,Not present in current ordinary baseline captures.
Back Line Drill,old repo-only,Not present in current ordinary baseline captures.
Challenge Drill,old repo-only,Not present in current ordinary baseline captures.
Box Clearance,old repo-only,Not present in current ordinary baseline captures.
Compact Block,old repo-only,Not present in current ordinary baseline captures.
Defence Blueprint,special family,Masterclass/special-source equivalent; excluded from ordinary baseline.
Interval Runs,old repo-only,Not present in current ordinary baseline captures.
Plyometrics,old repo-only,Not present in current ordinary baseline captures.
